;Sec;Wind;Rpm;Lambda;Cp;Power;Torque;LoadTorque;JTorque;
730;73;5;294,74404726273;6,17171906561537;0,244173185628882;55,9977544407935;1,8146566246923;1,48388913452237;0,0104996674888422;
740;74;5;295,369158345848;6,18494802484591;0,240583396263509;55,1744857315017;1,78415357768108;1,48601203014024;0,0094643815720552;
750;75;5;295,932495697811;6,19687013404948;0,237318621295527;54,4257545942531;1,75655624264914;1,48792183256971;0,0085279899446391;
760;76;5;296,439986602048;6,20761070229064;0,234353322094103;53,7457040960907;1,73160678636817;1,48963962697544;0,00768166243421398;
770;77;5;296,897023897445;6,21728375662077;0,231663180578348;53,128757220363;1,70906650878806;1,49118447212752;0,00691723585624082;
780;78;5;297,308507423248;6,22599291354551;0,2292252193926;52,5696444272687;1,68871520277179;1,49257358319228;0,00622718875724892;
790;79;5;297,678883637379;6,23383221288385;0,227017868585819;52,0634189458569;1,67035034527411;1,49382250048824;0,00560461110160126;
800;80;5;298,012183163644;6,24088690865983;0,225020990633845;51,6054625125374;1,65378617711947;1,49494524474924;0,0050431707231251;
810;81;5;298,31205612261;6,24723421380013;0,223215873613377;51,1914838056261;1,63885271637629;1,49595445955258;0,00453707796979863;
820;82;5;298,58180517815;6,25294399706978;0,221585200568258;50,8175114199253;1,6253947402612;1,49686154164171;0,00408104964526679;
830;83;5;298,824416290676;6,25807943194931;0,22011300159061;50,4798828771926;1,61327076225585;1,49767675991039;0,00367027308500667;
840;84;5;299,042587212257;6,26269759811038;0,218784593852011;50,1752308731171;1,60235202441377;1,49840936382744;0,00330037098932223;
850;85;5;299,238753791107;6,26685003684514;0,21758651374006;49,9004677137773;1,5925215194362;1,49906768207467;0,00296736746229698;
860;86;5;299,415114175658;6,27058326229908;0,216506444358677;49,6527686888335;1,58367305278803;1,49965921215066;0,00266765556771453;
870;87;5;299,573651023604;6,27393923068877;0,215533140912034;49,4295549593607;1,57571035172217;1,50019070166376;0,00239796660452107;
880;88;5;299,71615183062;6,27695576989216;0,214656355889394;49,228476400023;1,56854622542191;1,5006682220021;0,00215534121978322;
890;89;5;299,844227498176;6,27966697190615;0,213866765480445;49,0473947234446;1,56210177841825;1,50109723502942;0,00193710241208578;
900;90;5;299,959329261155;6,28210355069969;0,213155898259464;48,8843671249066;1,55630567787957;1,50148265341376;0,00174083042915285;
910;91;5;300,062764094663;6,28429316796754;0,212516066865438;48,7376306141225;1,55109347420484;1,50182889515489;0,00156433952724377;
920;92;5;300,155708716217;6,28626072922621;0,211940303160332;48,6055871446833;1,54640697350351;1,50213993283421;0,00140565653336822;
930;93;5;300,239222294958;6,28802865260111;0,2114222971567;48,4867896079451;1,54219365994422;1,50241933807098;0,00126300113332078;
940;94;5;300,314257974124;6,28961711254139;0,21095633985905;48,3799287244846;1,5384061655523;1,50267032162955;0,00113476779625188;
950;95;5;300,381673306997;6,29104426057487;0,21053727005198;48,2838208406912;1,53500178478411;1,50289576958581;0,00101950923977157;
960;96;5;300,442239700284;6,29232642508379;0,210160424985326;48,1973966190866;1,53194203107302;1,50309827592577;0,000915921335591818;
970;97;5;300,4966509525;6,29347829194899;0,20982159484642;48,1196905971632;1,52919223249632;1,50328017191749;0,000822829355797694;
980;98;5;300,545530968569;6,29451306777661;0,20951698086738;48,0498315798694;1,52672116373386;1,50344355256603;0,000739175460322983;
990;99;5;300,589440725706;6,29544262729214;0,209243156887164;47,9870338243965;1,52450071155798;1,50359030043452;0,000664007330271943;
1000;100;5;300,628884559683;6,29627764636135;0,208997034170856;47,9305889719668;1,5225055711978;1,50372210708738;0,000596467854728999;
1010;101;5;300,664315834905;6,2970277219781;0,208775829279762;47,8798586792825;1,5207129710473;1,50384049238836;0,000535785783803533;
1020;102;5;300,696142056404;6,29770148044683;0,208577034783163;47,8342679016711;1,51910242332659;1,5039468218644;0,000481267265852736;
1030;103;5;300,724729476811;6,29830667488124;0,208398392604756;47,7932987804571;1,51765549845533;1,50404232232601;0,000432288191749564;
1040;104;5;300,750407246698;6,29885027304231;0,208237869802125;47,7564850883199;1,51635562104745;1,50412809591682;0,000388287274631693;
1050;105;5;300,77347115235;6,29933853644703;0,208093636585525;47,7234071882034;1,51518788558776;1,50420513274822;0,000348759798747267;
1060;106;5;300,794186981008;6,29977709159458;0,207964046391643;47,6936874635079;1,51413888999796;1,50427432226023;0,000313251976310269;
1070;107;5;300,812793549919;6,30017099407852;0,207847617838398;47,6669861796724;1,51319658544107;1,50433646343537;0,000281355855728194;
1080;108;5;300,829505432155;6,30052478628224;0,207743018397841;47,6429977397793;1,51235014084889;1,50439227398072;0,000252704729872377;
1090;109;5;300,844515409053;6,30084254928876;0,207649049635268;47,6214472993485;1,51158982078433;1,50444239858126;0,000226968996877019;
1100;110;5;300,857996676263;6,30112794957642;0,207564633873743;47,6020877080296;1,51090687537077;1,50448741631787;0,000203852430344043;
1110;111;5;300,87010482786;6,30138428101713;0,207488802153935;47,5846967483562;1,51029344113181;1,50452784733398;0,000183088819678545;
1120;112;5;300,880979640551;6,30161450264399;0,207420683369525;47,569074644101;1,50974245168892;1,50456415882673;0,000164438944860734;
1130;113;5;300,89074667792;6,30182127260982;0,207359494468321;47,5550418130376;1,5092475573603;1,50459677043025;0,000147687852747325;
1140;114;5;300,899518732684;6,30200697871712;0,207304531618451;47,5424368410278;1,50880305279211;1,50462605905307;0,000132642405986871;
1150;115;5;300,907397123184;6,30217376586264;0,207255162247757;47,5311146563666;1,50840381183493;1,50465236322432;0,000119129077317481;
1160;116;5;300,914472858714;6,30232356070589;0,207210817872652;47,5209448851792;1,50804522895224;1,50467598699864;0,000106991965255432;
1170;117;5;300,920827686891;6,3024580938405;0,207170987640149;47,5118103703746;1,50772316651526;1,50469720346429;9,60910092615563E-05;
1180;118;5;300,926535034908;6,30257891971968;0,207135212513841;47,5036058382801;1,50743390740097;1,50471625789498;8,63003846518495E-05;
1190;119;5;300,93166085538;6,30268743456193;0,207103080040901;47,4962366985253;1,50717411236582;1,50473337058109;7,75070591814142E-05;
1200;120;5;300,936264386402;6,30278489244083;0,207074219643158;47,4896179641146;1,50694078171923;1,50474873937311;6,96094953092086E-05;
1210;121;5;300,940398834472;6,30287241974213;0,20704829838059;47,4836732798434;1,50673122086727;1,50476254196644;6,25164836325354E-05;
1220;122;5;300,944111988095;6,30295102815324;0,207025017140544;47,4783340483474;1,50654300933887;1,50477493795371;5,61460941899128E-05;
1230;123;5;300,947446769054;6,30302162633355;0,207004107210484;47,4735386441106;1,5063739729456;1,50478607066827;5,04247338657393E-05;
1240;124;5;300,950441727689;6,30308503039911;0,206985327196081;47,4692317066711;1,50622215875978;1,50479606884016;4,52862993505221E-05;
1250;125;5;300,953131487828;6,30314197334175;0,206968460250244;47,4653635051374;1,50608581262759;1,50480504808348;4,06714158192045E-05;
1260;126;5;300,955547146493;6,30319311349071;0,206953311581998;47,4618893668844;1,50596335896172;1,50481311223235;3,6526752843713E-05;
1270;127;5;300,957716632957;6,30323904211387;0,20693970621718;47,4587691639997;1,50585338258356;1,50482035454089;3,28044097379632E-05;
1280;128;5;300,95966503129;6,30328029024585;0,206927486985703;47,4559668516905;1,50575461240799;1,50482685876102;2,94613632423335E-05;
1290;129;5;300,961414870078;6,3033173348215;0,206916512712601;47,4534500534237;1,50566590678454;1,50483270011051;2,64589713019348E-05;
1300;130;5;300,962986382678;6,30335060418532;0,206906656592362;47,4511896881038;1,50558624032739;1,50483794614238;2,37625272205833E-05;
1310;131;5;300,964397740974;6,30338048304021;0,206897804728067;47,4491596350418;1,50551469208333;1,50484265752589;2,13408592131259E-05;
1320;132;5;300,965665265353;6,30340731689252;0,206889854818711;47,4473364329127;1,50545043490235;1,50484688874786;1,91659705119918E-05;
1330;133;5;300,966803613297;6,30343141604464;0,206882714979744;47,4456990092611;1,50539272588875;1,50485068874262;1,72127162176849E-05;
1340;134;5;300,967825948776;6,30345305918109;0,206876302683349;47,4442284374699;1,50534089782319;1,50485410145779;1,5458512912403E-05;
1350;135;5;300,9687440944;6,30347249658944;0,206870543806379;47,4429077184173;1,50529435145745;1,50485716636234;1,38830778020349E-05;
1360;136;5;300,969568668068;6,30348995305337;0,206865371775001;47,441721584312;1,50525254859276;1,50485991890304;1,24681945141702E-05;
1370;137;5;300,970309205708;6,30350563045093;0,206860726796292;47,4406563224713;1,50521500586262;1,50486239091426;1,11975025784972E-05;
1380;138;5;300,970974271512;6,30351971008833;0,20685655516795;47,4396996170129;1,50518128914832;1,50486461098612;1,00563084366456E-05;
1390;139;5;300,971571556944;6,30353235479596;0,206852808658205;47,4388404066447;1,50515100856273;1,50486660479508;9,03141566332977E-06;
1400;140;5;300,972107969667;6,30354371081087;0,206849443948787;47,4380687569189;1,50512381394486;1,50486839540084;8,11097243236247E-06;
1410;141;5;300,972589713401;6,30355390946756;0,206846422134591;47,4373757454858;1,5050993908131;1,504870003513;7,28433453289767E-06;
1420;142;5;300,973022359661;6,30356306871651;0,206843708274225;47,4367533590187;1,50507745673043;1,50487144773061;6,54194242244444E-06;
1430;143;5;300,973410912169;6,30357129448795;0,206841270986317;47,4361944006326;1,50505775803987;1,50487274475722;5,87521065931185E-06;
1440;144;5;300,973759864722;6,30357868191677;0,206839082086904;47,4356924067239;1,50504006693226;1,50487390959402;5,27642865399969E-06;
1450;145;5;300,974073253144;6,30358531644258;0,20683711626374;47,4352415722781;1,50502417881283;1,50487495571338;4,73867156713936E-06;
1460;146;5;300,974354701966;6,30359127479768;0,20683535078376;47,4348366837801;1,50500990993591;1,5048758952146;4,25572021356402E-06;
